rowId,tableId,tableName,itemId,itemName,dropChance,minCount,maxCount
400001,T001,LootTable - 血瓶,120001,小回春,100,1,1
400002,T001,,120004,血瓶1,100,1,1
400003,T001,,120002,小回春1,100,1,1
400004,T001,,120003,血瓶,100,1,1
400005,T002,LootTable -新手装备,100101,木剑,100,1,1
400006,T002,,110101,皮兜帽,100,1,1
400007,T002,,110401,皮手套,100,1,1
400008,T002,,110201,皮甲,100,1,1
400009,T002,,110301,皮靴,100,1,1
400010,T003,LootTable -新手装备——骷髅掉落,100101,木剑,20,1,1
400011,T003,,110101,皮兜帽,20,1,1
400012,T003,,110401,皮手套,20,1,1
400013,T003,,110201,皮甲,20,1,1
400014,T003,,110301,皮靴,20,1,1
400015,T004,LootTable - 铜掉落池,130004,铜矿石,100,1,2
400016,T004,,110103,铜盔,30,1,1
400017,T004,,110203,铜甲,30,1,1
400018,T004,,110303,铜靴,30,1,1
400019,T004,,110403,铜手套,30,1,1
400020,T004,,100103,铜剑,30,1,1
400021,T004,,110506,铜项链,20,1,1
400022,T004,,110507,铜手镯,20,1,1
400023,T004,,110508,铜戒指,20,1,1
400024,T005,LootTable - 铁掉落池,130005,铁矿石,100,1,2
400025,T005,,110104,铁盔,20,1,1
400026,T005,,110204,铁甲,20,1,1
400027,T005,,110304,铁靴,20,1,1
400028,T005,,110404,铁手套,20,1,1
400029,T005,,100104,铁剑,20,1,1
400030,T005,,110509,铁项链,15,1,1
400031,T005,,110510,铁手镯,15,1,1
400032,T005,,110511,铁戒指,15,1,1
400033,T006,LootTable - 金掉落池,130006,金矿石,100,1,2
400034,T006,,110105,金盔,20,1,1
400035,T006,,110205,金甲,20,1,1
400036,T006,,110305,金靴,20,1,1
400037,T006,,110405,金手套,20,1,1
400038,T006,,100105,金剑,20,1,1
400039,T006,,110512,金项链,15,1,1
400040,T006,,110513,金手镯,15,1,1
400041,T006,,110514,金戒指,15,1,1
400042,T007,LootTable - 钻石掉落池,130007,钻石,80,1,1
400043,T007,,110106,钻石盔,15,1,1
400044,T007,,110206,钻石甲,15,1,1
400045,T007,,110306,钻石靴,15,1,1
400046,T007,,110406,钻石手套,15,1,1
400047,T007,,100106,钻石剑,15,1,1
400048,T007,,110515,钻石项链,10,1,1
400049,T007,,110516,钻石手镯,10,1,1
400050,T007,,110517,钻石戒指,10,1,1
400051,T008,LootTable - 传说掉落池,100107,传说之刃,3,1,1
400052,T008,,110207,远古龙鳞甲,3,1,1
