recipeId,recipeName,resultItemId,mat1Id,mat1Count,mat2Id,mat2Count,goldCost,minRarity
recipe_100101,木剑,100101,130003,3,0,0,20,普通
recipe_100102,过时的英雄之剑,100102,130002,3,130003,1,40,普通
recipe_110101,皮兜帽,110101,130001,3,0,0,20,普通
recipe_110102,过时的英雄头盔,110102,130002,2,130003,1,40,普通
recipe_110201,皮甲,110201,130001,4,0,0,25,普通
recipe_110202,过时的英雄胸甲,110202,130002,2,130003,1,40,普通
recipe_110301,皮靴,110301,130001,2,0,0,20,普通
recipe_110302,过时的英雄靴子,110302,130002,2,0,0,40,普通
recipe_110401,皮手套,110401,130001,2,0,0,20,普通
recipe_110402,过时的英雄手套,110402,130002,2,0,0,40,普通
recipe_110501,冰晶项链,110501,130003,3,0,0,300,普通
recipe_110502,火焰项链,110502,130003,3,0,0,300,普通
recipe_110503,雷电项链,110503,130003,3,0,0,300,普通
recipe_110504,生命项链,110504,130003,3,130001,1,350,普通
recipe_110505,过时的约定之绳,110505,130003,3,0,0,300,普通
recipe_100103,铜剑,100103,130004,3,0,0,500,普通
recipe_110103,铜盔,110103,130004,3,0,0,500,普通
recipe_110203,铜甲,110203,130004,4,0,0,600,普通
recipe_110303,铜靴,110303,130004,2,0,0,500,普通
recipe_110403,铜手套,110403,130004,2,0,0,500,普通
recipe_110506,铜项链,110506,130004,2,0,0,500,普通
recipe_110507,铜手镯,110507,130004,2,0,0,500,普通
recipe_110508,铜戒指,110508,130004,2,0,0,500,普通
recipe_100104,铁剑,100104,130002,4,0,0,1000,普通
recipe_110104,铁盔,110104,130002,3,0,0,1000,普通
recipe_110204,铁甲,110204,130002,5,0,0,1200,普通
recipe_110304,铁靴,110304,130002,3,0,0,1000,普通
recipe_110404,铁手套,110404,130002,3,0,0,1000,普通
recipe_110509,铁项链,110509,130002,3,0,0,1000,普通
recipe_110510,铁手镯,110510,130002,3,0,0,1000,普通
recipe_110511,铁戒指,110511,130002,3,0,0,1000,普通
recipe_100105,金剑,100105,130006,5,0,0,2000,普通
recipe_110105,金盔,110105,130006,4,0,0,2000,普通
recipe_110205,金甲,110205,130006,6,0,0,2400,普通
recipe_110305,金靴,110305,130006,4,0,0,2000,普通
recipe_110405,金手套,110405,130006,4,0,0,2000,普通
recipe_110512,金项链,110512,130006,4,0,0,2000,普通
recipe_110513,金手镯,110513,130006,4,0,0,2000,普通
recipe_110514,金戒指,110514,130006,4,0,0,2000,普通
recipe_100106,钻石剑,100106,130007,6,0,0,4000,普通
recipe_110106,钻石盔,110106,130007,5,0,0,4000,普通
recipe_110206,钻石甲,110206,130007,7,0,0,4800,普通
recipe_110306,钻石靴,110306,130007,5,0,0,4000,普通
recipe_110406,钻石手套,110406,130007,5,0,0,4000,普通
recipe_110515,钻石项链,110515,130007,5,0,0,4000,普通
recipe_110516,钻石手镯,110516,130007,5,0,0,4000,普通
recipe_110517,钻石戒指,110517,130007,5,0,0,4000,普通
recipe_100107,传说之刃,100107,130007,5,130006,5,6000,普通
recipe_110207,远古龙鳞甲,110207,130007,6,130006,4,6000,普通
