id,name,modifier1_type,modifier1_value,modifier2_type,modifier2_value,modifier3_type,modifier3_value,modifier4_type,modifier4_value
100101,木剑,物理伤害,2,,,,,,
100102,过时的英雄之剑,物理伤害,5,暴击率,1,暴击伤害,3,,
110101,皮兜帽,最大生命值,5,护甲,1,,,,
110102,过时的英雄头盔,最大生命值,10,护甲,2,敏捷,1,,
110201,皮甲,最大生命值,10,护甲,2,,,,
110202,过时的英雄胸甲,最大生命值,15,护甲,3,力量,1,,
110301,皮靴,护甲,1,敏捷,2,闪避,1,,
110302,过时的英雄靴子,最大生命值,15,活力,3,力量,1,,
110401,皮手套,最大生命值,2,护甲,1,力量,1,,
110402,过时的英雄手套,最大生命值,5,护甲,1,暴击率,1,暴击伤害,2
110501,冰晶项链,冰霜伤害,5,最大生命值,5,智力,1,,
110502,火焰项链,火焰伤害,5,最大生命值,5,智力,1,,
110503,雷电项链,闪电伤害,5,最大生命值,5,智力,1,,
110504,生命项链,最大生命值,20,生命值恢复,1,,,,
110505,过时的约定之绳,力量,1,敏捷,1,智力,1,活力,1
100103,铜剑,物理伤害,8,,,,,,
100104,铁剑,物理伤害,16,,,,,,
100105,金剑,物理伤害,28,暴击率,2,暴击伤害,5,,
100106,钻石剑,物理伤害,45,暴击率,3,暴击伤害,8,力量,3
100107,传说之刃,物理伤害,60,暴击率,5,暴击伤害,12,攻击速度,0.1
110103,铜盔,最大生命值,10,护甲,2,,,,
110104,铁盔,最大生命值,25,护甲,4,力量,1,,
110105,金盔,最大生命值,40,护甲,7,力量,3,,
110106,钻石盔,最大生命值,60,护甲,10,力量,5,活力,2
110203,铜甲,最大生命值,18,护甲,3,,,,
110204,铁甲,最大生命值,40,护甲,6,力量,2,,
110205,金甲,最大生命值,65,护甲,10,力量,3,,
110206,钻石甲,最大生命值,100,护甲,15,力量,5,,
110207,远古龙鳞甲,最大生命值,120,护甲,18,力量,5,生命值恢复,2
110303,铜靴,护甲,2,敏捷,2,,,,
110304,铁靴,护甲,4,活力,3,敏捷,1,,
110305,金靴,护甲,6,活力,5,力量,2,,
110306,钻石靴,护甲,10,活力,5,力量,3,敏捷,3
110403,铜手套,力量,1,护甲,1,,,,
110404,铁手套,力量,3,物理伤害,2,护甲,2,,
110405,金手套,力量,5,物理伤害,4,护甲,3,,
110406,钻石手套,力量,5,物理伤害,8,护甲,3,暴击率,2
110506,铜项链,最大生命值,15,护甲,2,,,,
110507,铜手镯,物理伤害,2,力量,1,,,,
110508,铜戒指,暴击率,1,暴击伤害,2,,,,
110509,铁项链,最大生命值,30,护甲,4,火焰抗性,3,,
110510,铁手镯,物理伤害,5,冰霜伤害,3,智力,2,,
110511,铁戒指,暴击率,3,暴击伤害,5,敏捷,2,,
110512,金项链,最大生命值,50,护甲,7,生命值恢复,1,闪电抗性,3
110513,金手镯,物理伤害,8,火焰伤害,6,智力,4,攻击速度,0.05
110514,金戒指,暴击率,5,暴击伤害,8,闪避,2,冰霜伤害,3
110515,钻石项链,最大生命值,80,护甲,10,生命值恢复,2,元素之心,2
110516,钻石手镯,物理伤害,15,闪电伤害,8,智力,5,攻击速度,0.1
110517,钻石戒指,暴击率,7,暴击伤害,12,敏捷,3,闪避,3
