affixId,displayName,tier,pool,weight,stat1,stat1_min,stat1_max,stat1_pct,stat2,stat2_min,stat2_max,stat2_pct,stat3,stat3_min,stat3_max,stat3_pct,stat4,stat4_min,stat4_max,stat4_pct
prefix_sharp_wp,锋利,普通,武器,5,物理伤害,2,3,false,,,,,,,,,,,,
prefix_blazing_wp,炽焰,普通,武器,5,火焰伤害,2,3,false,,,,,,,,,,,,
prefix_accurate_wp,精准,普通,武器,5,暴击率,1,2,false,,,,,,,,,,,,
prefix_reckless_wp,鲁莽,普通,武器,4,物理伤害,3,5,FALSE,攻击速度,-2,-1,TRUE,,,,,,,,
prefix_blunt_wp,钝化,普通,武器,2,物理伤害,-8,-5,true,,,,,,,,,,,,
prefix_keen_wp,锋锐,优秀,武器,5,物理伤害,4,6,false,,,,,,,,,,,,
prefix_pierce_wp,穿透,优秀,武器,5,护甲穿透,2,3,false,,,,,,,,,,,,
prefix_surge_wp,狂涌,优秀,武器,4,攻击速度,4,6,TRUE,物理伤害,-4,-2,TRUE,,,,,,,,
prefix_cruel_wp,残暴,优秀,武器,4,暴击伤害,8,12,false,闪避,-3,-2,false,,,,,,,,
prefix_war_wp,狂战,稀有,武器,4,物理伤害,16,20,TRUE,攻击速度,-8,-6,TRUE,,,,,,,,
prefix_bloodsurge_wp,血涌,稀有,武器,4,攻击速度,10,14,TRUE,火焰伤害,-14,-10,TRUE,,,,,,,,
prefix_ruin_wp,毁灭,稀有,武器,5,物理伤害,10,14,true,,,,,,,,,,,,
prefix_warall_wp,战争,稀有,武器,5,物理伤害,10,14,true,火焰伤害,10,14,true,冰霜伤害,10,14,true,闪电伤害,10,14,true
prefix_scourge_wp,天罚,史诗,武器,5,物理伤害,14,18,true,,,,,,,,,,,,
prefix_godslayer_wp,弑神,史诗,武器,5,物理伤害,14,18,true,火焰伤害,14,18,true,冰霜伤害,14,18,true,闪电伤害,14,18,true
prefix_bloodrage_wp,浴血,传说,武器,4,物理伤害,16,20,true,最大生命值,-15,-8,true,,,,,,,,
prefix_wrath_wp,神怒,传说,武器,5,物理伤害,20,25,true,,,,,,,,,,,,
prefix_godwar_wp,狂神,传说,武器,4,物理伤害,18,25,TRUE,攻击速度,-10,-6,TRUE,,,,,,,,
prefix_doom_wp,终末,传说,武器,4,火焰伤害,16,22,true,冰霜伤害,16,22,true,闪电伤害,16,22,true,最大生命值,-20,-10,true
