id,name,type,rarity,canStackable,allowRarityVariation,maxRaritySteps,value,description,iconPath,iconName
100101,木剑,武器,普通,FALSE,TRUE,2,50,,Assets/Graphis/Object/Icons/TM.png,TM_48
100102,过时的英雄之剑,武器,精良,FALSE,TRUE,1,150,,Assets/Graphis/Object/Icons/TM.png,TM_51
110101,皮兜帽,头盔,普通,FALSE,TRUE,2,30,,Assets/Graphis/Object/Icons/TM.png,TM_78
110102,过时的英雄头盔,头盔,普通,FALSE,TRUE,1,30,,Assets/Graphis/Object/Icons/TM.png,TM_77
110201,皮甲,盔甲,普通,FALSE,TRUE,2,80,,Assets/Graphis/Object/Icons/TM.png,TM_82
110202,过时的英雄胸甲,盔甲,普通,FALSE,TRUE,1,80,,Assets/Graphis/Object/Icons/TM.png,TM_81
110301,皮靴,靴子,普通,FALSE,TRUE,2,30,,Assets/Graphis/Object/Icons/TM.png,TM_94
110302,过时的英雄靴子,靴子,普通,FALSE,TRUE,1,30,,Assets/Graphis/Object/Icons/TM.png,TM_95
110401,皮手套,手套,普通,FALSE,TRUE,2,30,,Assets/Graphis/Object/Icons/TM.png,TM_92
110402,过时的英雄手套,手套,普通,FALSE,TRUE,1,30,,Assets/Graphis/Object/Icons/TM.png,TM_93
110501,冰晶项链,饰品,普通,FALSE,TRUE,1,200,,Assets/Graphis/Object/Icons/zz.png,zz_1849
110502,火焰项链,饰品,普通,FALSE,TRUE,1,200,,Assets/Graphis/Object/Icons/zz.png,zz_1848
110503,雷电项链,饰品,普通,FALSE,TRUE,1,200,,Assets/Graphis/Object/Icons/zz.png,zz_1850
110504,生命项链,饰品,普通,FALSE,TRUE,1,200,,Assets/Graphis/Object/Icons/zz.png,zz_1847
110505,过时的约定之绳,饰品,普通,FALSE,TRUE,1,50,,Assets/Graphis/Object/Icons/TM.png,TM_99
120001,小回春,消耗品,普通,TRUE,TRUE,1,20,,Assets/Graphis/Object/Icons/TM.png,TM_251
120002,小回春1,消耗品,普通,TRUE,TRUE,1,20,,Assets/Graphis/Object/Icons/TM.png,TM_251
120003,血瓶,消耗品,普通,TRUE,TRUE,1,50,,Assets/Graphis/Object/Icons/TM.png,TM_114
120004,血瓶1,消耗品,普通,FALSE,TRUE,1,50,,Assets/Graphis/Object/Icons/TM.png,TM_114
130001,皮革,材料,普通,TRUE,TRUE,1,10,,Assets/Graphis/Object/Icons/TM.png,TM_236
130002,铁,材料,普通,TRUE,TRUE,1,15,,Assets/Graphis/Object/Icons/zz.png,zz_219
130003,狼牙,材料,普通,TRUE,TRUE,1,15,,Assets/Graphis/Object/Icons/TM.png,TM_237
100103,铜剑,武器,普通,FALSE,TRUE,2,200,,Assets/Graphis/Object/Icons/TM.png,TM_50
100104,铁剑,武器,精良,FALSE,TRUE,2,500,,Assets/Graphis/Object/Icons/zz.png,zz_1447
100105,金剑,武器,稀有,FALSE,TRUE,2,2000,,Assets/Graphis/Object/Icons/zz.png,zz_1528
100106,钻石剑,武器,史诗,FALSE,TRUE,2,10000,,Assets/Graphis/Object/Icons/zz.png,zz_1608
100107,传说之刃,武器,传说,FALSE,FALSE,0,50000,,Assets/Graphis/Object/Icons/zz.png,zz_1677
110103,铜盔,头盔,普通,FALSE,TRUE,2,100,,Assets/Graphis/Object/Icons/zz.png,zz_1908
110104,铁盔,头盔,精良,FALSE,TRUE,2,300,,Assets/Graphis/Object/Icons/zz.png,zz_1904
110105,金盔,头盔,稀有,FALSE,TRUE,2,1500,,Assets/Graphis/Object/Icons/zz.png,zz_1910
110106,钻石盔,头盔,史诗,FALSE,TRUE,2,8000,,Assets/Graphis/Object/Icons/zz.png,zz_1902
110203,铜甲,盔甲,普通,FALSE,TRUE,2,300,,Assets/Graphis/Object/Icons/zz.png,zz_1924
110204,铁甲,盔甲,精良,FALSE,TRUE,2,800,,Assets/Graphis/Object/Icons/zz.png,zz_1920
110205,金甲,盔甲,稀有,FALSE,TRUE,2,3000,,Assets/Graphis/Object/Icons/zz.png,zz_1926
110206,钻石甲,盔甲,史诗,FALSE,TRUE,2,20000,,Assets/Graphis/Object/Icons/zz.png,zz_1888
110207,远古龙鳞甲,盔甲,传说,FALSE,FALSE,0,80000,,Assets/Graphis/Object/Icons/zz.png,zz_2050
110303,铜靴,靴子,普通,FALSE,TRUE,2,100,,Assets/Graphis/Object/Icons/zz.png,zz_1940
110304,铁靴,靴子,精良,FALSE,TRUE,2,300,,Assets/Graphis/Object/Icons/zz.png,zz_1936
110305,金靴,靴子,稀有,FALSE,TRUE,2,1500,,Assets/Graphis/Object/Icons/zz.png,zz_1942
